angry AJ0-347 
tape/min UNC-1 
dots/s UNC-1 
1/80th UNC-1 
baud NP0-2 
five-letter AJ0-1 
80/48 CRD-1 
$1.57/word NN0-1 
gauss/weber NP0-1 
simplex NN1-1 
k2 NP0-2 
sr1 UNC-1 
ss2 UNC-1 
rs1 UNC-1 
unpatented AJ0-1 
+3v UNC-1 
1164–1168 CRD-1 
thermionic AJ0-1 
ww1 UNC-1 
electromechanical AJ0-1 
rc-coupled AJ0-3 
triode NN1-3 
anode-bend AJ0-1 
transformer-coupled AJ0-1 
150mw UNC-1 
mhl4s UNC-2 
px4s UNC-1 
4w NN0-2 
moving-iron NN1-1 
odd-ball AJ0-1 
voigt NP0-3 
diaphragms NN2-2 
20kilogauss UNC-1 
p.g.a.h. NP0-1 
kilogauss NN1-1 
trf NP0-1 
beerling NP0-2 
not-too-distant AJ0-1 
better-served NN1-1 
rds-eon NP0-2 
eon NN1-5 
sandell NP0-1 
carfax NP0-12 
low-technology AJ0-1 
time-multiplexed AJ0-1 
0.5kw NN0-1 
sone NN1-1 
warc NP0-2 
itu NP0-1 
519.5 CRD-1 
526.5khz UNC-1 
lower-frequency AJ0-1 
tmc NP0-8 
kopitz NP0-1 
presently-available AJ0-1 
ergonomic AJ0-1 
rds-tmc AJ0-1 
consumer-industry NN1-1 
over-complex AJ0-1 
radio-paging AJ0-1 
user-attractive AJ0-1 
multipath NN1-1 
534khz UNC-1 
791 CRD-3 
754 CRD-3 
antex VVB-1 
756 CRD-3 
746 CRD-3 
autona NN1-1 
a.o.r. NP0-1 
766 CRD-4 
obc NP0-1 
electronics794 UNC-1 
digitask VVB-1 
electronics719 UNC-1 
electronics721 UNC-1 
hoka NN1-1 
icom NP0-1 
763 CRD-3 
ipk NP0-1 
electrical751 UNC-1 
langrex VVB-1 
matmos NN2-1 
758 CRD-3 
mqp NP0-1 
733 CRD-1 
723 CRD-1 
thurlby NP0-2 
thandar NP0-2 
tsien NP0-1 
unbundler NN1-3 
697m NN0-1 
£697m NN0-1 
63-year-old AJ0-1 
keyser NP0-2 
uncertificated AJ0-1 
backlogs NN2-1 
widdis NP0-1 
cerain NN1-1 
biiba-fimbra NP0-1 
biiba NP0-9 
swedish-owned AJ0-1 
fondkommission NN1-1 
braniff NN1-2 
$175m NN0-1 
585 CRD-1 
reagan-era AJ0-1 
employee-owned AJ0-2 
byrd NP0-2 
re-regulatory AJ0-1 
lincat NP0-7 
175p NN0-1 
lan-elec NP0-2 
corsair NN1-2 
£1.28m NN0-1 
£1.4m-plus NN0-1 
colbrook NP0-2 
profits-related AJ0-1 
£2.16m NN0-1 
£300m-plus NN0-1 
474p NN0-1 
£282.2m NN0-1 
£36m NN0-1 
119p NN0-1 
reshapes VVZ-1 
£194.2m NN0-1 
cheque-printing AJ0-1 
£294m NN0-1 
bathrooom NN1-1 
gardenstore NN1-2 
greensides NP0-1 
fintech NP0-1 
bundespost NP0-2 
gsm NN0-1 
33m NN0-1 
magan NP0-1 
irby NP0-1 
under-written VVN-1 
outworks NN2-1 
bergsten NP0-1 
deprecates VVZ-1 
bancaire NP0-2 
gastronomique NN1-1 
notaire NN1-1 
ffr880m UNC-1 
£86.3m NN0-1 
ffr1.34bn UNC-1 
ffr68.4bn UNC-1 
ffr94.3bn UNC-1 
ffr146bn UNC-1 
ffr6.3bn UNC-1 
ffr29.9bn UNC-1 
insurance-related AJ0-1 
under-insured AJ0-1 
d'enterprises NP0-1 
francaises UNC-1 
etrangeres NP0-1 
fouchier NP0-1 
unsual AJ0-1 
ufb NP0-1 
locabail NP0-1 
66.2 CRD-1 
cetelem NP0-1 
67.7 CRD-1 
cardif NP0-2 
levy-lang NP0-7 
polytechnique NP0-1 
solveg NP0-1 
ffr59.1m UNC-1 
ffr40m UNC-2 
ffr9.29m UNC-1 
15.7 CRD-1 
ffr147m UNC-1 
ffr75.1m UNC-1 
ffr29.5m UNC-1 
ffr28m UNC-1 
ffr10.7m UNC-1 
cortal NP0-1 
talismanic AJ0-2 
payrolls NN2-1 
-how AVQ-1 
78p NN0-2 
kilogramme NN1-3 
downtrend NN1-1 
£1/kg NN0-1 
2.27m NN0-1 
2.34m NN0-1 
under-supplied VVN-1 
1.67m NN0-1 
ico NN1-1 
euro-equity AJ0-2 
equity' VVB-1 
gaap NP0-7 
£1.45bn NN0-1 
iosco NP0-1 
$165bn NN0-1 
bondware NP0-1 
$179bn NN0-1 
$200bn NN0-1 
creditphone NN1-1 
fully-discounted AJ0-1 
mortgage-holder NN1-1 
£17.75 NN0-1 
£271.88 NN0-1 
2,299.4 CRD-1 
1,850 CRD-1 
£66.2m NN0-1 
£48.34m NN0-1 
£31.1m NN0-1 
7.5p NN0-1 
29.6 CRD-2 
£448m NN0-1 
anounced VVN-1 
jobete NN1-2 
alexandre NP0-1 
macanese NP0-1 
directly-elected AJ0-4 
indirectly-elected AJ0-3 
directly- AJ0-1 
liberal-leaning AJ0-1 
hk$4bn UNC-1 
taipa NP0-2 
hk$350m UNC-1 
wokking VVG-1 
food-fetishism NN1-1 
tissuey-textured AJ0-1 
sea-slug NN1-1 
congee NN1-1 
nauseously AV0-1 
waxy-yellow AJ0-1 
just-finished AJ0-1 
mackintosh-ish NP0-1 
gilt-and-gingerbread AJ0-1 
e-fu AJ0-1 
nuzzling VVG-1 
fibrous-to-spongy AJ0-1 
chewiness NN1-1 
yunnan AJ0-1 
bo-lei NN2-1 
pu-erh NN1-1 
kow-tows VVZ-1 
philsophers NN2-1 
cai NN2-1 
choy NN1-1 
shatin NP0-2 
long-grained AJ0-1 
gault-millau NP0-1 
tsimshatsui NP0-1 
gueho NP0-2 
cupolas NN2-1 
17-18 CRD-2 
loup VVB-1 
impitoyables NN2-1 
tak-shing NN1-4 
-mind NN1-1 
maclehose NP0-1 
youde NP0-2 
bicameral AJ0-2 
caac NP0-1 
bureacuracy NN1-1 
mushkat NP0-1 
export-oriented AJ0-1 
binghui NP0-1 
tomei NP0-1 
china-based AJ0-1 
kong-led AJ0-1 
widely-cited AJ0-1 
hopewell NP0-2 
186-mile NN1-1 
tollway NN1-1 
hk$3.8bn UNC-1 
hainan NP0-2 
xuanping VVG-1 
recoupedits NN2-1 
1982-84 CRD-3 
self-righting AJ0-1 
amour-propre NN1-2 
fraud-tainted AJ0-1 
kong-financed AJ0-1 
quota-driven AJ0-1 
tiananmen-style AJ0-2 
mini-constitution NN1-3 
waiting-period NN1-1 
sincerely-held AJ0-1 
gatekeeper NN1-4 
guilin NP0-1 
queasier AJC-1 
nations-sponsored NN1-1 
unsuccesfully AV0-1 
holding-camps NN2-1 
hong-shui NN1-1 
blcc NP0-1 
regognises VVZ-1 
cho-chak NP0-1 
1978-80 CRD-1 
1982-85 CRD-1 
liao NP0-1 
liaision NN1-1 
high-order AJ0-1 
eye-to-eye NN1-1 
quasi-diplomatic AJ0-1 
1997-oriented AJ0-1 
peking-owned AJ0-1 
mongkok NP0-1 
fong NP0-1 
selina NP0-4 
parent-governments NN2-1 
weaseling-out NN1-1 
racially-discriminatory AJ0-1 
billion-strong AJ0-1 
kong-style AJ0-1 
strong-armed AJ0-1 
power-structure NN1-1 
glenarthur NP0-1 
jiatun NP0-3 
$280m NN0-1 
unrests NN2-1 
down-play NN1-1 
better-qualified AJC-1 
sandwich-society NN1-1 
peking-appointed AJ0-1 
chu-ming NP0-1 
makhoul NP0-1 
weygand NP0-1 
baalbek NP0-2 
beyrout NP0-2 
damascenes NP0-1 
hoyek NP0-1 
newly-installed AJ0-2 
immutably AV0-1 
neo-colonial AJ0-1 
229,378 CRD-1 
175,925 CRD-1 
154,208 CRD-1 
sutherfield NP0-2 
al-feisal NN1-1 
serhal NP0-2 
arab-sponsored AJ0-1 
mujahedin' NN1-1 
cluster-bomb AJ0-1 
ulomi NN1-5 
us-supplied AJ0-2 
egyptian-made AJ0-1 
blowpipes NN2-2 
stinger NN1-2 
colonel-general AJ0-1 
nurul NP0-1 
kandahar NN1-2 
mig-29s CRD-1 
23-member AJ0-1 
kep NN1-8 
riels NN2-2 
cowherds NN2-1 
800-year-old AJ0-1 
angkor NP0-1 
landowning AJ0-2 
maen AJ0-1 
reuan NN1-1 
svay NP0-1 
cheak NN1-1 
banteay NP0-1 
meanchey NP0-1 
locator NN1-1 
ambassadorial AJ0-2 
zappala NP0-6 
rhino-hide AJ0-1 
geldenhuys NP0-1 
amadeo NP0-1 
brain-dead AJ0-1 
cruzan NP0-1 
ailes NP0-1 
shvartzer NN1-1 
abbell NP0-5 
chessplayer NN1-1 
pasto NN1-1 
soviet-us NP0-1 
dubinin NP0-1 
radar-evading NN1-1 
carlucci NP0-3 
akhromeyev NP0-1 
eulogio NP0-1 
sixth-floor AJ0-1 
proksch NP0-2 
girikola NP0-1 
ryabtsev NP0-1 
ranh NP0-1 
yoweri NP0-1 
military-controlled AJ0-1 
geza NP0-1 
kotai NP0-1 
verligtes NN2-1 
khat NN1-7 
mirko NP0-2 
pintar NP0-4 
dc-9 CRD-1 
hireling NN1-1 
serbo-croat NP0-1 
'almost AJ0-1 
north-rhine NP0-1 
vengefully AV0-1 
illegally-parked AJ0-1 
lublin NP0-4 
karczmiska NP0-1 
-for NN1-1 
opole NP0-2 
lubelski NP0-1 
dismays NN2-1 
heidi NP0-1 
wieczorek-zeul NP0-1 
coaliion NN1-1 
witchell NP0-3 
long-jumper NN1-1 
bow-tie NN1-1 
callan NP0-3 
slack-jawed AJ0-1 
courageouslycaught NN1-1 
penitentials NN2-3 
sex-negative AJ0-2 
adulterer NN1-1 
millenarianism NN1-1 
unstaged AJ0-1 
emasculate VVB-1 
hagen-william NP0-1 
sportin' AJ0-1 
red-headed AJ0-2 
pesek NP0-1 
story-reading NN1-1 
ahlbergs NP0-7 
husband-and-wife AJ0-1 
gimlet-eyed AJ0-1 
start-rite AJ0-1 
book-makers NN2-1 
coat-hanger NN1-1 
beano NP0-2 
10-year-olds NN2-1 
librarians NN2-1 
anti-sexism NN1-1 
gorbymania NP0-1 
cccp NP0-1 
yelena NP0-1 
khudiakova NP0-4 
curtain' NP0-1 
stalin-era AJ0-1 
constructivist NN1-4 
mayakovsky NP0-1 
cog-wheel AJ0-1 
stalin-gothic AJ0-1 
pokazukha NN1-1 
modi NP0-1 
zaitsev NP0-2 
herodotean AJ0-1 
peri NN2-1 
subjectmatter NN1-2 
perigord NP0-8 
hautefort NN1-1 
walking-tour NN1-1 
kulchur NP0-6 
poitiers NP0-5 
brives NP0-1 
olson NP0-27 
objectism NN1-1 
rock-drill NP0-3 
a-top PRP-1 
poictiers NP0-1 
4/14:18 CRD-1 
pisan AJ0-9 
detention-camp NN1-2 
cave-paintings NN2-1 
lascaux NP0-1 
urochs NN2-1 
postals NN2-1 
74/428:455 CRD-1 
plangently AV0-2 
cahors NP0-1 
chalus NP0-2 
aubeterre NN1-20 
76/455:482 CRD-1 
aubeterre-sur-dronne NP0-1 
provincia NP0-1 
chalais NN1-14 
dronne NP0-6 
mareuil VVB-1 
north-eastward AJ0-1 
vieux-mareuil NP0-2 
mareuil-sur-belle NP0-1 
donjons NN2-1 
ventadour NP0-2 
80/509:544 CRD-1 
aubeterre. NP0-1 
hilltown NN1-1 
l'atlantique NP0-1 
sepulchre NN1-3 
castillon NP0-2 
templars NN2-7 
molay NP0-6 
cloud-pale AJ0-1 
rage-driven NN1-1 
rage-tormented NN1-1 
rage-hungry AJ0-1 
belabouring VVG-1 
sagatrieb NP0-1 
erigena NP0-3 
eleusinian AJ0-2 
mystery-cults NN2-2 
cavern-church NN1-1 
p.22 UNC-1 
cross-referring AJ0-1 
lissadell NP0-1 
bulben NP0-1 
poetry-lovers NN2-1 
hawkshead NP0-1 
rémusat NP0-2 
talleyrand NP0-5 
snow-flakes NN2-1 
101/722:75 CRD-1 
talleyrand-perigord NP0-1 
salvavit NN1-1 
salvabile UNC-1 
105/746:98 CRD-1 
talleyrand-perigords NN2-1 
sower NN1-2 
talleyrands NP0-1 
misremembered VVN-1 
tude NN1-4 
water-lilies NN2-1 
ségur NP0-4 
cathars NN2-2 
albigensians NN2-1 
comminges NP0-1 
101:725:77 CRD-1 
paideuma NP0-6 
spring-summer AJ0-1 
alpert NP0-1 
late-edwardian AJ0-2 
flutterer NN1-1 
prothero NP0-16 
edt NN1-1 
demon-king NN1-2 
poundian AJ0-2 
instigations NN2-2 
disadvantageously AV0-3 
qr NP0-3 
eighteen-forties CRD-1 
brzeska NP0-1 
desolaton NN1-1 
helot NN1-1 
sulphurously AV0-1 
kenner NP0-10 
snarlings NN2-1 
super-chess NN1-1 
vorticists NN2-3 
imagists NN2-4 
amygists NN2-1 
blithering AJ0-1 
trickily AV0-1 
aberconway NP0-1 
strindberg NP0-1 
rabindranath NP0-1 
recitations NN2-1 
ascertainable AJ0-1 
o'ergiven VVN-2 
fordie NN1-1 
stowne NN1-1 
plarr NP0-1 
maurie NP0-3 
432:459 CRD-1 
80/515:550 CRD-1 
507:541 CRD-1 
quarterlies NN2-1 
schneidau NP0-4 
admirations NN2-1 
slain' NP0-1 
korè NN1-1 
dantesque AJ0-1 
curial AJ0-1 
gaudier NP0-3 
pewked AJ0-1 
manageably AV0-1 
1862–1938 CRD-1 
power-wielding AJ0-1 
borah NP0-1 
bankhead NP0-1 
ubaldo NP0-1 
uberti NN1-1 
spare-time AJ0-3 
prentices NN2-1 
orage VVB-1 
moralebuilding AJ0-1 
propertius NP0-19 
e.v NP0-1 
quire NN1-3 
semi-technical AJ0-1 
trochee NN1-2 
iamb NN1-1 
versifiers NN2-1 
avantgarde NN1-1 
penthesilea NP0-1 
jozefff NP0-1 
pent NN1-1 
laomedon NP0-3 
ahi NP0-1 
ahis NN1-1 
bull-dog NN1-3 
meum UNC-1 
propositum UNC-1 
tabernam UNC-1 
forloyn NN1-1 
506:540 CRD-1 
jocularity NN1-2 
bulldogs NN2-1 
ateliers NN2-2 
misdating VVG-1 
binbin NN1-1 
572:608 CRD-1 
loathesome AJ0-1 
d'école NN1-1 
over-modest AJ0-1 
unformulated AJ0-1 
unnoticeable AJ0-1 
d'artagnan NP0-2 
pavannes NP0-2 
divagations NN2-1 
n'est UNC-1 
jeunes UNC-1 
hommes UNC-1 
brancusi NP0-2 
1933–4 CRD-1 
l.b NN0-1 
guillotined VVN-1 
germy AJ0-1 
intelletto NN1-1 
tetrameters NN2-1 
terza NN1-1 
wh. NN0-1 
schniedau NP0-5 
shakespear NP0-6 
monogamist NN1-1 
charta NP0-3 
why-not XX0-1 
pasterns NN2-1 
backe NN1-1 
castern AJ0-1 
boneen NN1-1 
portel NP0-2 
stuarda NP0-2 
tuit UNC-1 
dolh UNC-1 
ehl UNC-1 
planh UNC-1 
marrimen UNC-1 
blanch-white AJ0-1 
new-gnarled AJ0-1 
grass-blade NN1-1 
ant-size AJ0-1 
t-bone NN1-1 
couturier NN1-3 
quair NN1-1 
place-name AJ0-1 
yport NP0-1 
rizzio NP0-2 
bertran NP0-1 
darnley NN1-1 
unriddlings NN2-1 
wire-mesh AJ0-1 
quatrains NN2-3 
podsnap NP0-2 
disloyally AV0-1 
self-exile NN1-2 
mauberley NP0-9 
â AT0-1 
l'américaine NP0-1 
locution NN1-1 
sene NN0-1 
gautier NP0-7 
existe UNC-1 
theophile NP0-1 
1929. CRD-1 
bewailed VVD-1 
sixteenthcentury NN1-1 
drivelling NN1-2 
civilize VVI-2 
marginalians NN2-1 
mistranslation NN1-1 
anglophiles NN2-2 
anglophobe NN1-2 
assail VVI-1 
poundians NN2-5 
lustra NP0-2 
imagism NN1-4 
moulders NN2-1 
yawing VVG-1 
mcalmon NP0-1 
stryx NN1-1 
generous-minded AJ0-1 
poesy NN1-1 
desideria NP0-1 
dearie NN1-1 
cantabile NN1-2 
proclivity NN1-2 
criter NN1-1 
inflexibly AV0-1 
pekin NP0-1 
compleynt VVB-2 
hearde NN1-1 
agaynst VVB-1 
causeth VVZ-1 
slayeth VVZ-1 
proof-bringing NN1-1 
virtu NN1-1 
marcella NP0-3 
limpidity NN1-2 
strenuousness NN1-1 
dowers NP0-1 
mercian AJ0-2 
p.251 UNC-1 
1865–1939 CRD-1 
p.367 UNC-1 
yeatses NP0-1 
monreale NP0-2 
palatina NP0-1 
taormina NP0-3 
syracuse NP0-4 
pound/joyce NP0-1 
25/1 CRD-1 
1272–1337 CRD-1 
1296–1337 CRD-1 
at27/129 UNC-1 
blague NN1-1 
romains NN2-1 
vildrac NP0-2 
sieburth NP0-1 
p.280 UNC-1 
77/467 CRD-1 
80/512 CRD-1 
quais NN1-1 
siracusa NP0-1 
80/503 CRD-1 
unstillness NN1-1 
ixion NP0-2 
trinacrian AJ0-1 
manxman NN1-1 
trinacria NP0-2 
threespoked AJ0-1 
82/524 CRD-1 
hulme-flint NP0-1 
640–41 CRD-1 
distraint VVB-1 
1288 CRD-1 
federico NP0-3 
secondo NP0-2 
edwardus NN1-1 
baliol NP0-1 
pactum NP0-1 
serva NP0-1 
traist AJ0-1 
hohenstaufen NP0-2 
1198–1212 CRD-1 
portentously AV0-1 
great-greatgranddaughter NN1-1 
eleanors NP0-2 
97/681–2 CRD-1 
puer NP0-1 
apulius NP0-2 
alcamo NP0-1 
antoninus NP0-4 
mirabile AJ0-1 
brevitate NN1-1 
correxit NN1-1 
landulph NP0-1 
justinian NP0-2 
venandi NP0-1 
avibus NP0-1 
fyfe NP0-1 
apulia NP0-1 
ciullo NP0-2 
d'alcamo NP0-1 
aulentissima NN1-1 
sweetly-smelling AJ0-1 
rose/ NN1-1 
1170s CRD-1 
98/689 CRD-1 
100/719 CRD-1 
103/736 CRD-1 
106/753–54 CRD-1 
104/745 CRD-1 
enna NP0-3 
nyssa UNC-2 
circe NP0-4 
mid-sicily NP0-1 
bracton NP0-2 
legibus UNC-1 
consuetudinibus UNC-1 
angliae UNC-1 
1270–71 CRD-1 
selinunt' NP0-1 
akragas NP0-3 
inst. NP0-1 
midleading VVG-1 
selinunte NP0-1 
107/757–58 CRD-1 
obit NP0-1 
l'estate NN1-2 
resistent AJ0-1 
templum NN1-1 
aedificavit NN1-1 
segesta NN1-1 
pound. NP0-1 
puerility NN1-1 
107/759 CRD-1 
berengar NP0-2 
helianor NN1-1 
cantaur NN1-2 
cantuar NN1-1 
boniface NP0-26 
109/774 CRD-1 
selloi NP0-1 
phylotaxis NN1-1 
mnemonic NN1-3 
pisanello NP0-1 
symbologizing VVG-1 
na-khi AJ0-1 
seelye NP0-2 
maximus NP0-3 
gaucheries NN2-1 
lineation NN1-1 
self-questioning AJ0-1 
illwritten AJ0-1 
impenitent AJ0-2 
streicher NP0-4 
sicken NN1-1 
bassani NP0-1 
prepolitical AJ0-1 
sub-political AJ0-1 
anti-jewish AJ0-7 
anti-jewishness NN1-1 
death-full AJ0-1 
pound-the-man NP0-1 
pound-the-poet NP0-1 
demote VVB-1 
heymann NP0-1 
rower NN1-1 
the-man-as-poet AJ0-1 
the-man-who-is-the-poet AJ0-1 
granpa NP0-1 
skillfully-wrought AJ0-1 
numen NN2-1 
post-christian AJ0-1 
e.p. NP0-1 
clarities NN2-2 
charitas NN2-1 
confusio NN1-2 
bottome NP0-14 
gingered VVD-1 
slovenliness NN1-1 
browbeat VVI-2 
delano NP0-1 
p.240 UNC-1 
rapallo NP0-5 
bowra NP0-3 
bore' NN1-1 
sycophant NN1-1 
outface VVI-1 
spitefulness NN1-2 
inexusable AJ0-1 
adlerian AJ0-1 
envelops VVZ-1 
decencies NN2-2 
noncommunicating AJ0-1 
herrenvolk NP0-1 
coziness NN1-3 
generalizes VVZ-1 
confrere NN1-1 
prufrock NN1-2 
shoptalk NN1-2 
anti-englishness AJ0-1 
cantes NP0-1 
fugleman NN1-1 
vorticism NN1-1 
prentice-work NN1-1 
behoves VVZ-2 
avocation NN1-1 
scawen NP0-2 
girded VVD-1 
self-congratulating NN1-1 
latecome NN1-1 
annotating VVG-1 
virgilianism NN1-5 
haecker NP0-1 
eclogue NN1-1 
exactingly AV0-1 
imperium NN1-1 
ecclesia NN1-2 
ottonian AJ0-5 
hohenstaufens NN2-1 
actualized VVD-1 
acidulous AJ0-1 
virgilian-dantesque AJ0-1 
royalism NN1-1 
eliotic AJ0-1 
aeneidos NN2-1 
devaluings NN2-1 
virgil' NP0-1 
venerate VVI-1 
venerating VVG-2 
pro-dante AJ0-1 
pound-eliot NP0-1 
philadelphian AJ0-1 
irrupts VVZ-1 
back-fired VVN-1 
latinists NN2-2 
mistranslations NN2-1 
aether VVB-1 
patet NN1-1 
confessedly AV0-1 
verse-translator NN1-1 
417-20 CRD-1 
couplet NN1-1 
veteris NN1-2 
flammae NN2-3 
non-modernist AJ0-1 
j.o NP0-1 
700-page AJ0-1 
totowa NP0-1 
diomede NP0-1 
hov'ring VVG-1 
mighty-vanned AJ0-1 
night-moths NN2-1 
dim-discerned AJ0-1 
sprites NN2-1 
frameless AJ0-1 
pre-modernist AJ0-1 
sappho NP0-1 
ibycus NP0-1 
idyl NN1-1 
heliconii NP0-1 
verbalism NN1-1 
catena NN1-1 
tennysonian AJ0-1 
coerces VVZ-1 
avowing VVG-1 
anti-virgilian AJ0-1 
sicheus NP0-3 
rain-blur NN1-1 
341ff. AV0-1 
invaluably AV0-2 
abuleia NN1-1 
locust-shells NN2-1 
phèdre NN1-1 
vénus UNC-1 
entière UNC-1 
proie UNC-1 
attachée UNC-1 
lacrimae UNC-2 
self-servings NN2-1 
neoptolemus NN1-1 
atridae NP0-1 
victualing NN1-1 
imperishable AJ0-2 
tenous AJ0-1 
499–502 CRD-1 
ilium NN1-1 
synaesthesia NN1-1 
firstling AJ0-1 
screech-owl NN1-1 
cassis NP0-1 
unman VVB-1 
whelms VVZ-1 
tasseling VVG-1 
muscadine NN1-1 
wastefulness NN1-1 
heedlessness NN1-1 
bugle-note NN1-1 
pietas NN2-1 
forefated AJ0-1 
divagated VVD-1 
amica NP0-1 
silentia NP0-1 
lunae NP0-1 
tenedo NN1-1 
tacitaeper NN1-1 
tuus UNC-1 
ille UNC-1 
ez NP0-1 
numberless AJ0-1 
chthonic AJ0-1 
whoch NN1-1 
anchises NN2-5 
superbo NN1-1 
ilion NN1-1 
stern-sheets NN2-1 
tet NN1-2 
tethnéké. NP0-1 
otreus NP0-2 
semidivine NN1-1 
bed-mate NN1-1 
the-hero-as-artist AJ0-1 
artifact NN1-1 
leda NP0-1 
prison-stockade NN1-2 
terracina NP0-1 
zephyr NN1-1 
cythera NN1-1 
potens VVZ-1 
irrupt VVI-1 
branda NN1-1 
gruss UNC-1 
tatile UNC-1 
gekommen UNC-1 
profugens UNC-2 
sabinorum UNC-2 
terras UNC-2 
sitye NN1-1 
quahr NN1-1 
lateyn AJ0-1 
peopil NN1-1 
latium NP0-1 
bricabrac NN1-1 
goddis NN1-2 
brocht VVB-1 
latio NP0-2 
eneados NN2-1 
batellis NN2-1 
troys NP0-1 
boundis NN2-1 
itale NP0-1 
coyme VVD-1 
coist NN1-1 
lavyne NP0-1 
cachit VVD-1 
mekle AJ0-1 
pyne NN1-1 
abuif AV0-1 
steid NN1-1 
cruell AJ0-1 
ald NN1-1 
ramembrit VVD-1 
feid NN1-1 
greit AJ0-1 
batell NN1-1 
sufferit VVD-1 
ciete NN1-1 
quhame PNQ-1 
latyne AJ0-1 
peple NN0-1 
takin VVG-1 
thair DPS-1 
italo-austrian AJ0-1 
marmoreally AV0-1 
cardwell NP0-1 
chapbook NP0-1 
untermeyer NP0-4 
anthologist NN1-1 
bookpublication NN1-1 
super-refined AJ0-2 
sitwells NP0-1 
symbolistes NN2-1 
eliabethanism NN1-1 
ingenuously AV0-2 
bulks VVZ-1 
animula NP0-1 
1900–1968 CRD-1 
1899-1932 CRD-1 
socio-cultural AJ0-1 
criter- AJC-1 
massis NP0-1 
proto-fascist AJ0-1 
suppositions NN2-4 
editorialist NN1-1 
jaggèd AJ0-1 
agèd AJ0-1 
promulgate VVI-1 
january-march NP0-1 
anthologized VVN-1 
verse-line NN1-1 
1883–1963 CRD-1 
w's ZZ0-2 
opinon NN1-1 
counterweight NN1-3 
ceremoniousness NN1-1 
verse-writing NN1-1 
wheelbarow NN1-1 
momentousness NN1-2 
sparsity NN1-1 
self-sealed NN1-1 
unbreachable AJ0-1 
faux-naïf AJ0-1 
cuteness NN1-1 
thirtyfive NN1-1 
plumtree NN1-1 
verse-lines NN2-2 
d'oc NP0-2 
kora NN1-1 
damd VVB-1 
d.d NP0-1 
p.158 UNC-1 
eliots NP0-2 
late-come AJ0-1 
doubtfulness NN1-1 
balefulness NN1-2 
over-compensating VVG-1 
crazy' NN1-1 
sheerest AJS-1 
bloodpoisoning VVG-1 
emersonianism NN1-1 
evanescent AJ0-2 
elegies NN2-1 
numa NP0-1 
pompilius NN1-1 
frigidaire NN1-1 
tomb-stone NN1-1 
elis NP0-1 
deathless AJ0-3 
frigifaire NN1-1 
word-order NN1-2 
polemicize VVI-1 
poeticisms NN2-1 
limpidly AV0-2 
debars VVZ-1 
starveling NN1-1 
ictus NN1-1 
scanted VVN-1 
enunciation NN1-1 
dialectal AJ0-1 
speech-habits NN2-1 
unmetrical AJ0-1 
super-added VVN-1 
syllable-count NN1-1 
stresscount NN1-1 
arouse' VVB-1 
libéré AJ0-1 
pleased. NN0-1 
engagé VVB-1 
obliquities NN2-1 
symboliste NN1-1 
imagiste NN1-1 
desperations NN2-1 
sordelloform NN1-1 
discriminiation NN1-1 
seldes NP0-1 
pocket-book NN1-1 
abbreviatedly AV0-1 
help' AJ0-1 
17–27 CRD-1 
post-1930 AJ0-1 
basin' NN1-1 
self-closure NN1-1 
xarites NN2-3 
tovarisch NN1-16 
cadmus NP0-5 
prows NN2-1 
eblis NP0-3 
xaritès NN2-1 
charitès NN2-1 
thebes NP0-1 
anti-russian AJ0-1 
literalness NN1-1 
sculpturally AV0-1 
art-critic NN1-1 
reap/nothing UNC-1 
discreditably AV0-1 
proserpine NP0-2 
overworld NN1-1 
poet-critic NN1-1 
loafer NN1-1 
naïf NN1-1 
prose-writings NN2-1 
laughlin NP0-2 
direc NN1-1 
tions NN2-2 
neophytes NN2-1 
demurrer NN1-1 
comrade-inarms NN2-1 
dispensible AJ0-1 
thermometer-reading NN1-1 
kul- AJ0-1 
chur NN1-1 
ash-can NN1-1 
ruskinian AJ0-2 
commonweal NN1-1 
circuitously AV0-1 
semimetaphorical AJ0-1 
chalk-or-cheese NN1-1 
sheep-and-goats NN2-1 
not' AJ0-1 
procrustean AJ0-1 
bluffly AV0-1 
relativist NN1-1 
hérédia NP0-4 
samain NP0-2 
lioneljohnson NP0-1 
l'art UNC-3 
emaux UNC-1 
camées UNC-1 
re-experience NN1-1 
agassiz NP0-2 
lecture-hall NN1-1 
conver NN1-1 
sations NN2-1 
poetries NN2-1 
linguisticians NN2-1 
near-apoplexy NN1-1 
chaucerian NN1-1 
muzzy AJ0-3 
miltonic AJ0-2 
preluciand NN1-1 
leuchand AV0-1 
luisant NN1-1 
lucente NN1-1 
miltonism NN1-2 
irriguous AJ0-1 
regularized VVD-2 
eses NN2-1 
pseudoelizabethanism NN1-1 
swinburnese NN0-1 
browningese NN0-1 
neo-celticism NN1-1 
rigidified VVD-1 
adulterated VVD-2 
regnier NP0-1 
tailhade NP0-1 
reputationmaking NN1-1 
infernally AV0-1 
well-disposed AJ0-2 
brickbat NN1-1 
versified VVD-1 
selfaccusation NN1-1 
heredia NP0-2 
intentness NN1-1 
agassiz' NP0-1 
acceptances. NN0-1 
sewanee NN1-1 
1909–1914 CRD-1 
litz NP0-2 
wilmer NP0-1 
barnumising VVG-2 
1908–1920 CRD-1 
essayists NN2-3 
fearsomely AV0-5 
we-have-heard-it-all-before UNC-1 
scandalously AV0-1 
zinnes NP0-1 
léger NN1-3 
d.s. NP0-1 
baxandall NP0-1 
inertly AV0-1 
